ENV_VAR_NAME,FIRST_FILE,FIRST_LINE
ANTHROPIC_APIKEY,./modules/generative-anthropic/module.go,64
ANYSCALE_APIKEY,./modules/generative-anyscale/module.go,64
API_BASED_MODULES_DISABLED,./usecases/config/environment.go,715
ASYNC_INDEXING,./usecases/config/environment.go,862
ASYNC_INDEXING_BATCH_SIZE,./adapters/repos/db/vector_index_queue.go,74
ASYNC_INDEXING_STALE_TIMEOUT,./adapters/repos/db/vector_index_queue.go,73
ASYNC_REPLICATION_ALIVE_NODES_CHECKING_FREQUENCY,./adapters/repos/db/shard_async_replication.go,124
ASYNC_REPLICATION_DIFF_BATCH_SIZE,./adapters/repos/db/shard_async_replication.go,142
ASYNC_REPLICATION_DIFF_PER_NODE_TIMEOUT,./adapters/repos/db/shard_async_replication.go,148
ASYNC_REPLICATION_DISABLED,./usecases/config/environment.go,847
ASYNC_REPLICATION_FREQUENCY,./adapters/repos/db/shard_async_replication.go,113
ASYNC_REPLICATION_FREQUENCY_WHILE_PROPAGATING,./adapters/repos/db/shard_async_replication.go,118
ASYNC_REPLICATION_HASHTREE_HEIGHT,./adapters/repos/db/shard_async_replication.go,108
ASYNC_REPLICATION_INIT_SHIELD_CPU_EVERY_N,./adapters/repos/db/shard_async_replication.go,136
ASYNC_REPLICATION_LOGGING_FREQUENCY,./adapters/repos/db/shard_async_replication.go,130
ASYNC_REPLICATION_PRE_PROPAGATION_TIMEOUT,./adapters/repos/db/shard_async_replication.go,154
ASYNC_REPLICATION_PROPAGATION_BATCH_SIZE,./adapters/repos/db/shard_async_replication.go,184
ASYNC_REPLICATION_PROPAGATION_CONCURRENCY,./adapters/repos/db/shard_async_replication.go,178
ASYNC_REPLICATION_PROPAGATION_DELAY,./adapters/repos/db/shard_async_replication.go,172
ASYNC_REPLICATION_PROPAGATION_LIMIT,./adapters/repos/db/shard_async_replication.go,166
ASYNC_REPLICATION_PROPAGATION_TIMEOUT,./adapters/repos/db/shard_async_replication.go,160
AUTHENTICATION_ANONYMOUS_ACCESS_ENABLED,./usecases/config/environment.go,214
AUTHENTICATION_APIKEY_ALLOWED_KEYS,./usecases/config/environment.go,280
AUTHENTICATION_APIKEY_ENABLED,./usecases/config/environment.go,277
AUTHENTICATION_APIKEY_USERS,./usecases/config/environment.go,285
AUTHENTICATION_DB_USERS_ENABLED,./usecases/config/environment.go,273
AUTHENTICATION_OIDC_CERTIFICATE,./usecases/config/environment.go,255
AUTHENTICATION_OIDC_CLIENT_ID,./usecases/config/environment.go,239
AUTHENTICATION_OIDC_ENABLED,./usecases/config/environment.go,218
AUTHENTICATION_OIDC_GROUPS_CLAIM,./usecases/config/environment.go,251
AUTHENTICATION_OIDC_ISSUER,./usecases/config/environment.go,235
AUTHENTICATION_OIDC_JWKS_URL,./usecases/config/environment.go,259
AUTHENTICATION_OIDC_SCOPES,./usecases/config/environment.go,243
AUTHENTICATION_OIDC_SKIP_CLIENT_ID_CHECK,./usecases/config/environment.go,231
AUTHENTICATION_OIDC_USERNAME_CLAIM,./usecases/config/environment.go,247
AUTHORIZATION_ADMIN_USERS,./usecases/config/environment.go,327
AUTHORIZATION_ADMINLIST_ENABLED,./usecases/config/environment.go,292
AUTHORIZATION_ADMINLIST_GROUPS,./usecases/config/environment.go,305
AUTHORIZATION_ADMINLIST_READONLY_GROUPS,./usecases/config/environment.go,310
AUTHORIZATION_ADMINLIST_READONLY_USERS,./usecases/config/environment.go,300
AUTHORIZATION_ADMINLIST_USERS,./usecases/config/environment.go,295
AUTHORIZATION_ENABLE_RBAC,./usecases/config/environment.go,316
AUTHORIZATION_RBAC_ENABLED,./usecases/config/environment.go,316
AUTHORIZATION_RBAC_IP_IN_AUDIT_LOG_DISABLED,./usecases/config/environment.go,319
AUTHORIZATION_RBAC_READONLY_GROUPS,./usecases/config/environment.go,338
AUTHORIZATION_RBAC_ROOT_GROUPS,./usecases/config/environment.go,333
AUTHORIZATION_RBAC_ROOT_USERS,./usecases/config/environment.go,323
AUTOSCHEMA_DEFAULT_DATE,./usecases/config/environment.go,736
